documento,nombre,tipo_persona,empresa,email,username
3000000001,Ana García Flores,aprendiz,SENA,usuario1@pruebasena.local,
3000000002,Carlos López Silva,instructor,SENA,usuario2@pruebasena.local,usuario2
3000000003,Diana Sánchez López,vigilante,Seguridad SENA,usuario3@pruebasena.local,usuario3
3000000004,Esteban Flores Vargas,contratista,Servicios Integrales,usuario4@pruebasena.local,
3000000005,Fernanda Morales Quintero,visitante,Entidad Invitada,usuario5@pruebasena.local,
3000000006,Gabriel Mendoza González,proveedor,Proveedores Nacionales,usuario6@pruebasena.local,
3000000007,Helena Suárez Castro,aprendiz,SENA,usuario7@pruebasena.local,
3000000008,Iván Rodríguez Suárez,instructor,SENA,usuario8@pruebasena.local,usuario8
3000000009,Juliana González Pérez,vigilante,Seguridad SENA,usuario9@pruebasena.local,usuario9
3000000010,Kevin Ramírez Morales,contratista,Servicios Integrales,usuario10@pruebasena.local,
3000000011,Laura Vargas Restrepo,visitante,Entidad Invitada,usuario11@pruebasena.local,
3000000012,Miguel Rojas Sánchez,proveedor,Proveedores Nacionales,usuario12@pruebasena.local,
3000000013,Natalia Silva Rojas,aprendiz,SENA,usuario13@pruebasena.local,
3000000014,Óscar Restrepo García,instructor,SENA,usuario14@pruebasena.local,usuario14
3000000015,Paula Martínez Ramírez,vigilante,Seguridad SENA,usuario15@pruebasena.local,usuario15
3000000016,Ricardo Pérez Herrera,contratista,Servicios Integrales,usuario16@pruebasena.local,
3000000017,Sofía Torres Rodríguez,visitante,Entidad Invitada,usuario17@pruebasena.local,
3000000018,Tomás Castro Torres,proveedor,Proveedores Nacionales,usuario18@pruebasena.local,
3000000019,Valentina Herrera Mendoza,aprendiz,SENA,usuario19@pruebasena.local,
3000000020,William Quintero Martínez,instructor,SENA,usuario20@pruebasena.local,usuario20
3000000021,Ana García Flores,vigilante,Seguridad SENA,usuario21@pruebasena.local,usuario21
3000000022,Carlos López Silva,contratista,Servicios Integrales,usuario22@pruebasena.local,
3000000023,Diana Sánchez López,visitante,Entidad Invitada,usuario23@pruebasena.local,
3000000024,Esteban Flores Vargas,proveedor,Proveedores Nacionales,usuario24@pruebasena.local,
3000000025,Fernanda Morales Quintero,aprendiz,SENA,usuario25@pruebasena.local,
3000000026,Gabriel Mendoza González,instructor,SENA,usuario26@pruebasena.local,usuario26
3000000027,Helena Suárez Castro,vigilante,Seguridad SENA,usuario27@pruebasena.local,usuario27
3000000028,Iván Rodríguez Suárez,contratista,Servicios Integrales,usuario28@pruebasena.local,
3000000029,Juliana González Pérez,visitante,Entidad Invitada,usuario29@pruebasena.local,
3000000030,Kevin Ramírez Morales,proveedor,Proveedores Nacionales,usuario30@pruebasena.local,
3000000031,Laura Vargas Restrepo,aprendiz,SENA,usuario31@pruebasena.local,
3000000032,Miguel Rojas Sánchez,instructor,SENA,usuario32@pruebasena.local,usuario32
3000000033,Natalia Silva Rojas,vigilante,Seguridad SENA,usuario33@pruebasena.local,usuario33
3000000034,Óscar Restrepo García,contratista,Servicios Integrales,usuario34@pruebasena.local,
3000000035,Paula Martínez Ramírez,visitante,Entidad Invitada,usuario35@pruebasena.local,
3000000036,Ricardo Pérez Herrera,proveedor,Proveedores Nacionales,usuario36@pruebasena.local,
3000000037,Sofía Torres Rodríguez,aprendiz,SENA,usuario37@pruebasena.local,
3000000038,Tomás Castro Torres,instructor,SENA,usuario38@pruebasena.local,usuario38
3000000039,Valentina Herrera Mendoza,vigilante,Seguridad SENA,usuario39@pruebasena.local,usuario39
3000000040,William Quintero Martínez,contratista,Servicios Integrales,usuario40@pruebasena.local,
3000000041,Ana García Flores,visitante,Entidad Invitada,usuario41@pruebasena.local,
3000000042,Carlos López Silva,proveedor,Proveedores Nacionales,usuario42@pruebasena.local,
3000000043,Diana Sánchez López,aprendiz,SENA,usuario43@pruebasena.local,
3000000044,Esteban Flores Vargas,instructor,SENA,usuario44@pruebasena.local,usuario44
3000000045,Fernanda Morales Quintero,vigilante,Seguridad SENA,usuario45@pruebasena.local,usuario45
3000000046,Gabriel Mendoza González,contratista,Servicios Integrales,usuario46@pruebasena.local,
3000000047,Helena Suárez Castro,visitante,Entidad Invitada,usuario47@pruebasena.local,
3000000048,Iván Rodríguez Suárez,proveedor,Proveedores Nacionales,usuario48@pruebasena.local,
3000000049,Juliana González Pérez,aprendiz,SENA,usuario49@pruebasena.local,
3000000050,Kevin Ramírez Morales,instructor,SENA,usuario50@pruebasena.local,usuario50
3000000051,Laura Vargas Restrepo,vigilante,Seguridad SENA,usuario51@pruebasena.local,usuario51
3000000052,Miguel Rojas Sánchez,contratista,Servicios Integrales,usuario52@pruebasena.local,
3000000053,Natalia Silva Rojas,visitante,Entidad Invitada,usuario53@pruebasena.local,
3000000054,Óscar Restrepo García,proveedor,Proveedores Nacionales,usuario54@pruebasena.local,
3000000055,Paula Martínez Ramírez,aprendiz,SENA,usuario55@pruebasena.local,
3000000056,Ricardo Pérez Herrera,instructor,SENA,usuario56@pruebasena.local,usuario56
3000000057,Sofía Torres Rodríguez,vigilante,Seguridad SENA,usuario57@pruebasena.local,usuario57
3000000058,Tomás Castro Torres,contratista,Servicios Integrales,usuario58@pruebasena.local,
3000000059,Valentina Herrera Mendoza,visitante,Entidad Invitada,usuario59@pruebasena.local,
3000000060,William Quintero Martínez,proveedor,Proveedores Nacionales,usuario60@pruebasena.local,
3000000061,Ana García Flores,aprendiz,SENA,usuario61@pruebasena.local,
3000000062,Carlos López Silva,instructor,SENA,usuario62@pruebasena.local,usuario62
3000000063,Diana Sánchez López,vigilante,Seguridad SENA,usuario63@pruebasena.local,usuario63
3000000064,Esteban Flores Vargas,contratista,Servicios Integrales,usuario64@pruebasena.local,
3000000065,Fernanda Morales Quintero,visitante,Entidad Invitada,usuario65@pruebasena.local,
3000000066,Gabriel Mendoza González,proveedor,Proveedores Nacionales,usuario66@pruebasena.local,
3000000067,Helena Suárez Castro,aprendiz,SENA,usuario67@pruebasena.local,
3000000068,Iván Rodríguez Suárez,instructor,SENA,usuario68@pruebasena.local,usuario68
3000000069,Juliana González Pérez,vigilante,Seguridad SENA,usuario69@pruebasena.local,usuario69
3000000070,Kevin Ramírez Morales,contratista,Servicios Integrales,usuario70@pruebasena.local,
3000000071,Laura Vargas Restrepo,visitante,Entidad Invitada,usuario71@pruebasena.local,
3000000072,Miguel Rojas Sánchez,proveedor,Proveedores Nacionales,usuario72@pruebasena.local,
3000000073,Natalia Silva Rojas,aprendiz,SENA,usuario73@pruebasena.local,
3000000074,Óscar Restrepo García,instructor,SENA,usuario74@pruebasena.local,usuario74
3000000075,Paula Martínez Ramírez,vigilante,Seguridad SENA,usuario75@pruebasena.local,usuario75
3000000076,Ricardo Pérez Herrera,contratista,Servicios Integrales,usuario76@pruebasena.local,
3000000077,Sofía Torres Rodríguez,visitante,Entidad Invitada,usuario77@pruebasena.local,
3000000078,Tomás Castro Torres,proveedor,Proveedores Nacionales,usuario78@pruebasena.local,
3000000079,Valentina Herrera Mendoza,aprendiz,SENA,usuario79@pruebasena.local,
3000000080,William Quintero Martínez,instructor,SENA,usuario80@pruebasena.local,usuario80
3000000081,Ana García Flores,vigilante,Seguridad SENA,usuario81@pruebasena.local,usuario81
3000000082,Carlos López Silva,contratista,Servicios Integrales,usuario82@pruebasena.local,
3000000083,Diana Sánchez López,visitante,Entidad Invitada,usuario83@pruebasena.local,
3000000084,Esteban Flores Vargas,proveedor,Proveedores Nacionales,usuario84@pruebasena.local,
3000000085,Fernanda Morales Quintero,aprendiz,SENA,usuario85@pruebasena.local,
3000000086,Gabriel Mendoza González,instructor,SENA,usuario86@pruebasena.local,usuario86
3000000087,Helena Suárez Castro,vigilante,Seguridad SENA,usuario87@pruebasena.local,usuario87
3000000088,Iván Rodríguez Suárez,contratista,Servicios Integrales,usuario88@pruebasena.local,
3000000089,Juliana González Pérez,visitante,Entidad Invitada,usuario89@pruebasena.local,
3000000090,Kevin Ramírez Morales,proveedor,Proveedores Nacionales,usuario90@pruebasena.local,
